t_state,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1994.0,1995.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,Region,Average Wind Speed
KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112200.0,112200.0,112200.0,112200.0,262200.0,362700.0,362700.0,819400.0,1009400.0,1070300.0,1270100.0,2709200.0,2964950.0,2964950.0,3761420.0,4446235.0,5107035.0,5650085.0,6119735.0,7012040.0,8238120.0,8238120.0,8238120.0,Midwest,19.3
MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0,660.0,760.0,3220.0,4720.0,6020.0,16320.0,22470.0,46870.0,102120.0,105480.0,106080.0,106080.0,114080.0,115580.0,115580.0,125180.0,125180.0,125180.0,125180.0,125180.0,Northeast,15.76
MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70300.0,120300.0,120300.0,120300.0,160300.0,190300.0,190300.0,191050.0,191050.0,191050.0,191050.0,191050.0,191050.0,191050.0,South,19.74
ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,42000.0,46500.0,174600.0,266300.0,396900.0,431100.0,431100.0,439650.0,612900.0,900600.0,923400.0,923400.0,923400.0,996000.0,1007400.0,1027400.0,1027400.0,Northeast,16.95
MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,128600.0,142950.0,163450.0,371800.0,987200.0,1162300.0,1530480.0,1530480.0,1610880.0,1859930.0,1903630.0,2189630.0,2597850.0,3147450.0,3216450.0,3540170.0,Midwest,17.5
MN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,104480.0,129360.0,141240.0,169830.0,186230.0,307380.0,337680.0,466580.0,615280.0,1019480.0,1473055.0,1533155.0,1930605.0,2466785.0,2733455.0,2733455.0,2781455.0,2981455.0,3273255.0,3473255.0,3561730.0,3723305.0,4183805.0,4454605.0,4699885.0,4731885.0,Midwest,18.51
MO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56700.0,162500.0,308500.0,458500.0,458500.0,458500.0,458500.0,458500.0,458500.0,614450.0,914450.0,914450.0,914450.0,1942350.0,2390350.0,2390350.0,2390350.0,Midwest,19.31
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136170.0,145170.0,147170.0,271670.0,375170.0,387170.0,387170.0,646170.0,646170.0,665890.0,665890.0,695790.0,695790.0,802300.0,802300.0,882200.0,1116000.0,1481520.0,1481520.0,West,21.03
NC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208000.0,208000.0,208000.0,208000.0,208000.0,208000.0,208000.0,South,17.99
ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,1000.0,62500.0,62500.0,89600.0,176620.0,354240.0,727140.0,1215240.0,1436340.0,1457340.0,1692340.0,1693940.0,1898740.0,2156240.0,2759000.0,3004050.0,3152100.0,3625240.0,3968480.0,4260480.0,4260480.0,4260480.0,Midwest,18.8
NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,1320.0,1320.0,1320.0,1320.0,1320.0,1320.0,60720.0,60720.0,60720.0,60720.0,141720.0,201820.0,326320.0,448320.0,523120.0,796820.0,877010.0,1314510.0,1413070.0,1970620.0,2133140.0,2515630.0,2880030.0,3452060.0,3452060.0,Midwest,18.51
NH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000.0,24100.0,24100.0,24100.0,171100.0,171100.0,171100.0,185350.0,185350.0,185350.0,185350.0,214150.0,214150.0,214150.0,214150.0,214150.0,Northeast,17.13
NJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,Northeast,14.33
NM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0,660.0,205980.0,265980.0,405980.0,405980.0,405980.0,407480.0,506880.0,609280.0,659680.0,686980.0,686980.0,721730.0,989730.0,1021380.0,1590980.0,1639380.0,1859880.0,2625460.0,4085535.0,4311635.0,4311635.0,West,17.82
NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151800.0,151800.0,151800.0,151800.0,151800.0,151800.0,151800.0,151800.0,151800.0,151800.0,151800.0,151800.0,West,17.43
NY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18150.0,46650.0,46900.0,46900.0,46900.0,182200.0,368650.0,423150.0,705150.0,1272650.0,1272850.0,1405500.0,1638100.0,1722340.0,1748260.0,1749360.0,1827160.0,1828660.0,1987060.0,1987060.0,1987060.0,2193160.0,2193160.0,2530960.0,Northeast,15.57
